address,description,info,overview
"{'street_name': 'Lutselusplein 16', 'postal_code': '3590', 'town_name': 'Diepenbeek'}",Renovation obligation: unknown,"{'Construction year': '1989', 'Street frontage width': '16 m', 'Number of frontages': '2', 'Living area': '646 m²\nsquare meters', 'Living room': 'Yes', 'Dining room': 'Yes', 'Bedrooms': '2', 'Bathrooms': '2', 'Office': 'No', 'Professional space': 'No', 'Basement': 'Yes', 'Furnished': 'No', 'Armored door': 'No', 'Surface of the plot': '414 m²\nsquare meters', 'Width of the lot on the street': '16 m\nmeters', 'Connection to sewer network': 'Connected', 'Gas, water & electricity': 'Yes', 'Primary energy consumption': '189 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'B', 'Reference number of the EPC report': '20221130-0002740459-RES-1', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'E-level (overall energy performance)': '189', 'Heating type': 'Gas', 'Heat pump': 'No', 'Photovoltaic solar panels': 'No', 'Thermic solar panels': 'No', 'Common water heater': 'No', 'Double glazing': 'Yes', 'Planning permission obtained': 'Yes', 'Type of building': 'Apartment building', 'Subdivision permit': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'P-score': 'D', 'G-score': 'D', 'Latest land use designation': 'Living area (residential, urban or rural)', 'Cadastral income': '€ 9,717\n9717 €', 'Tenement building': 'Yes', 'Address': 'Heuvenstraat 23\n3520 - Zonhoven', 'Website': 'http://www.era.be/era-nobis', 'External reference': 'a0iTt0000001OZlIAM'}",2 bedrooms
"{'street_name': 'Joseph Smeetslaan 199', 'postal_code': '3630', 'town_name': 'Maasmechelen'}","A mixed-use building comprising a ground-floor retail unit, a flat and a loft to be completed. This property, set on a plot of more than 40a, is located in the province of Limbourg near Liège on a main road and has a large private car park. Description : Building consisting of : Garden level 632m²: Garage with sectional door, Storage space, Utility room Ground floor 667m² : The ground floor has been fully fitted out as a commercial space: entrance hall with automatic sliding doors, reception desk, commercial space, office, sanitary facilities, etc. First floor 390m²: A 320m² loft to be finished, comprising based on plans the following: Entrance hall, living room with open-plan kitchen, office, three bedrooms, two bathrooms, two toiletsand terrace. A 70m² flat comprising : Entrance hall, living area, kitchen, bedroom and bathroom. Technicals: Gas central heating, Air conditioning, Alarm system, Solar panels, PEB A Surroundings : Close to major cities on a main road Terms and conditions: Tax Subtlety Complete file after signature of NDA - Interview and visit by appointment only","{'Construction year': '2000', 'Building condition': 'Good', 'Surroundings type': 'Countryside', 'Living area': '770 m²\nsquare meters', 'Kitchen type': 'Installed', 'Bedrooms': '4', 'Bathrooms': '2', 'Toilets': '2', 'Armored door': 'No', 'Surface of the plot': '3680 m²\nsquare meters', 'Connection to sewer network': 'Connected', 'Primary energy consumption': '108 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'B', 'Reference number of the EPC report': '20201118-0002339573-RES-', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'As built plan': 'No', 'Heating type': 'Gas', 'Heat pump': 'No', 'Photovoltaic solar panels': 'No', 'Thermic solar panels': 'No', 'Obligation to build': 'No', 'Subdivision permit': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Tenement building': 'No', 'Address': 'Lommelsebaan\n3940 - Hechtel', 'Website': 'http://www.engelvoelkers.com/noord-limburg', 'External reference': 'spir411'}",4 bedrooms
"{'street_name': 'Op aanvraag 1,&', 'postal_code': '3570', 'town_name': 'Alken'}","Located in the picturesque city center of Oud-Rekem, you can find this phenomenal mansion dating back to 1850. With its monumental facade and beautiful authentic front door, the house immediately catches the eye. The house has been thoroughly updated to contemporary values and standards which today creates a beautiful family home with beautiful staircase, open modern kitchen, dining room and living room with gas fireplace. All this opening onto the south facing garden and large terrace. Also on the ground floor is a large office currently used as a TV room. The house has several bedrooms all with large windows overlooking the village at the front and the garden at the back. There is a central separate bathroom on both floors.In additionto a spacious back utility room/storage room, the spacious wine cellar and separate laundry room, among other things, the home also has a fully furnished room that could serve perfectly as a hobby room or even be converted into a separate studio. The attic space is accessed via a fixed staircase and immediately notice the beautiful wooden roof truss, this too could easily be converted into a large bedroom or hobby room. The garage provides space for two cars and has an accessible attic storage room. The driveway itself is privatized by a gate.On the spacious terrace you can enjoy the sun with complete privacy. The garden is a true oasis of green and gives access through a locked gate via the idyllic little bridge to your own pri","{'Construction year': '1977', 'Covered parking spaces': '2', 'Surroundings type': 'Countryside', 'Living area': '590 m²\nsquare meters', 'Living room': 'Yes', 'Dining room': 'Yes', 'Kitchen type': 'Hyper equipped', 'Bedrooms': '4', 'Dressing room': 'Yes', 'Bathrooms': '2', 'Laundry room': 'Yes', 'Office': 'Yes', 'Armored door': 'No', 'Surface of the plot': '100000 m²\nsquare meters', 'Connection to sewer network': 'Not connected', 'Gas, water & electricity': 'Yes', 'Primary energy consumption': '126 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'B', 'Reference number of the EPC report': 'Not specified', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Double glazing': 'Yes', 'Type of building': 'All kind', 'Obligation to build': 'No', 'Possible priority purchase right': 'No', 'Flood zone type': 'Non flood zone', 'Latest land use designation': 'Living area (residential, urban or rural)', 'Tenement building': 'No', 'Address': 'Dorpsstraat 53\n3900 - Pelt', 'Website': 'http://www. eibo.be', 'External reference': 'Alken'}",4 bedrooms
"{'street_name': 'Ask for the exact address', 'postal_code': '3700', 'town_name': 'Province du Limbourg'}",Renovation obligation: no,"{'Available as of': 'To be defined', 'Building condition': 'As new', 'Number of frontages': '4', 'Covered parking spaces': '1', 'Outdoor parking spaces': '30', 'Living area': '390 m²\nsquare meters', 'Kitchen type': 'Hyper equipped', 'Bedrooms': '4', 'Bathrooms': '3', 'Furnished': 'No', 'Armored door': 'Yes', 'Surface of the plot': '4450 m²\nsquare meters', 'Terrace': 'Yes', 'Primary energy consumption': 'Not specified', 'Energy class': 'Not specified', 'Reference number of the EPC report': '20220523-0002609791-KNR-1', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Heating type': 'Gas', 'Double glazing': 'Yes', 'Cadastral income': '€ 4,883\n4883 €', 'Tenement building': 'No', 'Address': 'avenue Louise 480\n1050 - Ixelles', 'Website': 'http://www.cofim.be', 'External reference': '5585961'}",4 bedrooms
"{'street_name': 'Patersstraat 35,', 'postal_code': '3621', 'town_name': 'Lanaken'}","Sorry, there is no English translation. Zeer goed gelegen opbrengsteigendom met winkelruimte en bovenliggend ruim appartement.","{'Construction year': '1850', 'Number of floors': '4', 'Building condition': 'Good', 'Covered parking spaces': '2', 'Outdoor parking spaces': '2', 'Surroundings type': 'Urban', 'Living area': '735 m²\nsquare meters', 'Living room': 'Yes', 'Bedrooms': '7', 'Bathrooms': '2', 'Office': 'No', 'Basement': 'Yes', 'Furnished': 'No', 'Armored door': 'No', 'Surface of the plot': '11774 m²\nsquare meters', 'Connection to sewer network': 'Connected', 'Gas, water & electricity': 'Yes', 'Garden': 'Yes', 'Garden orientation': 'South', 'Primary energy consumption': '228 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'C', 'Reference number of the EPC report': '202308230002971004RES1', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Double glazing': 'Yes', 'Planning permission obtained': 'Yes', 'Subdivision permit': 'Yes', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Latest land use designation': 'Living area (residential, urban or rural)', 'Tenement building': 'No', 'Address': 'H. Conciencelaan 70\n8000 - Brugge', 'Website': 'http://www.found-baker.com'}",7 bedrooms
"{'street_name': 'Bosstraat 111', 'postal_code': '3830', 'town_name': 'Wellen'}",,"{'Available as of': 'After signing the deed', 'Construction year': '2024', 'Number of floors': '2', 'Building condition': 'As new', 'Number of frontages': '4', 'Covered parking spaces': '2', 'Outdoor parking spaces': '2', 'Surroundings type': 'Fitted out', 'Living area': '400 m²\nsquare meters', 'Living room': 'Yes', 'Dining room': 'Yes', 'Kitchen type': 'USA hyper equipped', 'Bedrooms': '6', 'Bedroom 1 surface': '16 m²\nsquare meters', 'Bedroom 2 surface': '16 m²\nsquare meters', 'Bedroom 3 surface': '16 m²\nsquare meters', 'Bedroom 4 surface': '16 m²\nsquare meters', 'Bedroom 5 surface': '16 m²\nsquare meters', 'Dressing room': 'Yes', 'Bathrooms': '3', 'Shower rooms': '3', 'Toilets': '4', 'Laundry room': 'Yes', 'Office': 'Yes', 'Professional space': 'Yes', 'Attic': 'Yes', 'Isolated': 'Yes', 'Armored door': 'Yes', 'Surface of the plot': '30000 m²\nsquare meters', 'Land is facing street': 'Yes', 'Wooded land': 'No', 'Plot at rear': 'No', 'Flat land': 'Yes', 'Connection to sewer network': 'Connected', 'Gas, water & electricity': 'Yes', 'Garden surface': '1700 m²\nsquare meters', 'Terrace surface': '180 m²\nsquare meters', 'Number of annexes': '2', 'Primary energy consumption': 'Not specified', 'Energy class': 'A', 'Reference number of the EPC report': 'Not specified', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Heating type': 'Electric', 'Heat pump': 'Yes', 'Photovoltaic solar panels': 'Yes', 'Thermic solar panels': 'Yes', 'Common water heater': 'No', 'Double glazing': 'Yes', 'Planning permission obtained': 'Yes', 'Type of building': 'Villa', 'Total ground floor buildable': '30000 m²\nsquare meters', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Tenement building': 'No'}",6 bedrooms
"{'street_name': 'Merelstraat 12', 'postal_code': '3620', 'town_name': 'Lanaken'}",,"{'Construction year': '1992', 'Number of floors': '2', 'Building condition': 'Good', 'Number of frontages': '4', 'Covered parking spaces': '2', 'Surroundings type': 'Living area (residential, urban or rural)', 'Virtual visit': 'Link to the virtual visit', 'Living area': '865 m²\nsquare meters', 'Living room': 'Yes', 'Bedrooms': '5', 'Dressing room': 'No', 'Bathrooms': '4', 'Toilets': '5', 'Basement surface': '251 m²\nsquare meters', 'Armored door': 'No', 'Surface of the plot': '6106 m²\nsquare meters', 'Land is facing street': 'No', 'Wooded land': 'No', 'Plot at rear': 'Yes', 'Flat land': 'Yes', 'Width of the lot on the street': '64 m\nmeters', 'Connection to sewer network': 'Connected', 'Gas, water & electricity': 'Yes', 'Garden surface': '5804 m²\nsquare meters', 'Primary energy consumption': '186 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'B', 'Reference number of the EPC report': '20230817-0002966604-RES-2', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Heating type': 'Gas', 'Photovoltaic solar panels': 'No', 'Thermic solar panels': 'No', 'Common water heater': 'No', 'Double glazing': 'Yes', 'Planning permission obtained': 'Yes', 'Type of building': 'All kind', 'Obligation to build': 'No', 'Subdivision permit': 'No', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'Latest land use designation': 'Residential park', 'Cadastral income': '€ 4,776\n4776 €', 'Tenement building': 'No', 'Address': 'Thonissenlaan 82\n3500 - Hasselt', 'Website': 'http://www.hillewaere.be', 'External reference': '10/1498'}",5 bedrooms
"{'street_name': 'Ask for the exact address', 'postal_code': '3620', 'town_name': 'Lanaken'}",,"{'Construction year': '1973', 'Building condition': 'Good', 'Number of frontages': '4', 'Covered parking spaces': '2', 'Outdoor parking spaces': '4', 'Living area': '565 m²\nsquare meters', 'Kitchen type': 'Installed', 'Bedrooms': '5', 'Bathrooms': '2', 'Armored door': 'No', 'Surface of the plot': '4024 m²\nsquare meters', 'Connection to sewer network': 'Connected', 'Primary energy consumption': '200 kWh/m²\nkilowatt hour per square meters', 'Energy class': 'B', 'Reference number of the EPC report': '20220713-0002637990-RES-2', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'Heating type': 'Gas', 'Heat pump': 'No', 'Photovoltaic solar panels': 'No', 'Thermic solar panels': 'No', 'Double glazing': 'Yes', 'Obligation to build': 'No', 'Subdivision permit': 'Yes', 'Possible priority purchase right': 'No', 'Proceedings for breach of planning regulations': 'No', 'Flood zone type': 'Non flood zone', 'P-score': 'A', 'G-score': 'A', 'Tenement building': 'No', 'Address': 'Lommelsebaan\n3940 - Hechtel', 'Website': 'http://www.engelvoelkers.com/noord-limburg', 'External reference': 'spir342'}",5 bedrooms
"{'street_name': 'Koning Albertstraat 35', 'postal_code': '3500', 'town_name': 'Hasselt'}",,"{'Available as of': 'After signing the deed', 'Construction year': '1962', 'Building condition': 'Good', 'Street frontage width': '6 m', 'Number of frontages': '2', 'Surroundings type': 'Urban', 'Living area': '284 m²\nsquare meters', 'Kitchen type': 'Semi equipped', 'Bedrooms': '7', 'Bathrooms': '2', 'Toilets': '6', 'Basement': 'Yes', 'Surface of the plot': '136 m²\nsquare meters', 'Gas, water & electricity': 'Yes', 'Terrace': 'Yes', 'Primary energy consumption': 'Not specified', 'Energy class': 'Not specified', 'Reference number of the EPC report': '20230810-0002962675-KNR-1', 'CO₂ emission': 'Not specified', 'Yearly theoretical total energy consumption': 'Not specified', 'As built plan': 'No', 'Double glazing': 'Yes', 'Planning permission obtained': 'Yes', 'Possible priority purchase right': 'No', 'Flood zone type': 'Non flood zone', 'Latest land use designation': 'Living area (residential, urban or rural)', 'Cadastral income': '€ 8,756\n8756 €', 'Tenement building': 'Yes', 'Address': 'Guido Gezellestraat 17\n3500 - Hasselt', 'External reference': '398 - 1572'}",7 bedrooms
address,description,info,overview
